herbicida,tempo_fenol,tempo_data,bloco,parcela,papel_amostra,papel,biomassa_amostra,biomassa_m2,num_capul_amostra,num_capul_ha,prod_amostra,prod_total
pre,V0,20/12/2021,A,101,"0,000","0,000","0,000","0,000",,,,
pre,V1,05/01/2021,A,102,"0,000","0,000","0,000","0,000",,,,
pre,V3,12/01/2021,A,103,"0,000","0,000","0,000","0,000",,,,
pre,B1,19/01/2021,A,104,"0,014","0,012","0,002","0,008",,,,
pre,F1,09/02/2021,A,105,"0,014","0,012","0,002","0,008",,,,
pre,C1,23/03/2021,A,106,"0,036","0,012","0,024","0,096",,,,
pre,CP,27/04/2021,A,107,"0,040","0,012","0,028","0,112",,,,
sem,V0,20/12/2021,A,108,"0,000","0,000","0,000","0,000",,,,
sem,V1,05/01/2021,A,109,"0,012","0,012","0,000","0,000",,,,
sem,V3,12/01/2021,A,110,"0,026","0,012","0,014","0,056",,,,
sem,B1,19/01/2021,A,111,"0,020","0,012","0,008","0,032",,,,
sem,F1,26/01/2021,A,112,"0,218","0,024","0,194","0,776",,,,
sem,C1,23/03/2021,A,113,"0,160","0,012","0,148","0,592",,,,
sem,CP,27/04/2021,A,114,"0,045","0,012","0,033","0,132",,,,
pre,V3,12/01/2021,B,201,"0,012","0,012","0,000","0,000",,,,
pre,B1,19/01/2021,B,202,"0,014","0,012","0,002","0,008",,,,
pre,C1,23/03/2021,B,203,"0,072","0,012","0,060","0,240",,,,
pre,F1,26/01/2021,B,204,"0,028","0,012","0,016","0,064",,,,
pre,V0,20/12/2021,B,205,"0,000","0,000","0,000","0,000",,,,
pre,CP,27/04/2021,B,206,"0,035","0,012","0,023","0,092",,,,
pre,V1,05/01/2021,B,207,"0,000","0,000","0,000","0,000",,,,
sem,V3,12/01/2021,B,208,"0,020","0,012","0,008","0,032",,,,
sem,C1,23/03/2021,B,209,"0,138","0,012","0,126","0,504",,,,
sem,V1,05/01/2021,B,210,"0,012","0,012","0,000","0,000",,,,
sem,CP,27/04/2021,B,211,"0,048","0,012","0,036","0,144",,,,
sem,V0,20/12/2021,B,212,"0,000","0,000","0,000","0,000",,,,
sem,B1,19/01/2021,B,213,"0,014","0,012","0,002","0,008",,,,
sem,F1,26/01/2021,B,214,"0,114","0,012","0,102","0,408",,,,
pre,CP,27/04/2021,C,301,"0,042","0,012","0,030","0,120",,,,
pre,F1,26/01/2021,C,302,"0,040","0,012","0,028","0,112",,,,
pre,V0,20/12/2021,C,303,"0,000","0,000","0,000","0,000",,,,
pre,B1,19/01/2021,C,304,"0,018","0,012","0,006","0,024",,,,
pre,V1,05/01/2021,C,305,"0,000","0,000","0,000","0,000",,,,
pre,V3,12/01/2021,C,306,"0,012","0,012","0,000","0,000",,,,
pre,C1,23/03/2021,C,307,"0,054","0,012","0,042","0,168",,,,
sem,V1,05/01/2021,C,308,"0,018","0,012","0,006","0,024",,,,
sem,CP,27/04/2021,C,309,"0,050","0,012","0,038","0,152",,,,
sem,F1,26/01/2021,C,310,"0,028","0,012","0,016","0,064",,,,
sem,V3,12/01/2021,C,311,"0,018","0,012","0,006","0,024",,,,
sem,B1,19/01/2021,C,312,"0,036","0,012","0,024","0,096",,,,
sem,C1,23/03/2021,C,313,"0,164","0,012","0,152","0,608",,,,
sem,V0,20/12/2021,C,314,"0,000","0,000","0,000","0,000",,,,
pre,V0,20/12/2021,D,401,"0,000","0,000","0,000","0,000",,,,
pre,CP,27/04/2021,D,402,"0,055","0,012","0,043","0,172",,,,
pre,C1,23/03/2021,D,403,"0,064","0,012","0,052","0,208",,,,
pre,V3,12/01/2021,D,404,"0,012","0,012","0,000","0,000",,,,
pre,F1,26/01/2021,D,405,"0,022","0,012","0,010","0,040",,,,
pre,B1,19/01/2021,D,406,"0,014","0,012","0,002","0,008",,,,
pre,V1,05/01/2021,D,407,"0,000","0,000","0,000","0,000",,,,
sem,B1,19/01/2021,D,408,"0,032","0,012","0,020","0,080",,,,
sem,V3,12/01/2021,D,409,"0,018","0,012","0,006","0,024",,,,
sem,CP,27/04/2021,D,410,"0,059","0,012","0,047","0,188",,,,
sem,V0,20/12/2021,D,411,"0,000","0,000","0,000","0,000",,,,
sem,C1,23/03/2021,D,412,"0,152","0,012","0,140","0,560",,,,
sem,F1,26/01/2021,D,413,"0,062","0,012","0,050","0,200",,,,
sem,V1,05/01/2021,D,414,"0,016","0,012","0,004","0,016",,,,
