herbicida,tempo_fenol,tempo_data,bloco,parcela,algodao-tiguera,cipo,quebra pedra,colchao,apaga fogo,trapoeraba,total_plantas,total_m2
pre,V0,20-12-2021,A,101,0,0,0,0,0,0,0,0
pre,V1,5-1-2021,A,102,0,0,0,0,0,0,0,0
pre,V3,12-1-2021,A,103,0,0,0,0,0,0,0,0
pre,B1,19-1-2021,A,104,0,1,1,0,1,0,3,12
pre,F1,09-02-2021,A,105,0,1,0,2,0,0,3,12
pre,C1,23-03-2021,A,106,0,0,0,0,0,1,1,4
pre,CP,27-04-2021,A,107,0,0,0,0,1,0,1,4
sem,V0,20-12-2021,A,108,0,0,0,0,0,0,0,0
sem,V1,5-1-2021,A,109,1,6,6,2,1,0,16,64
sem,V3,12-1-2021,A,110,0,7,2,1,5,0,15,60
sem,B1,19-1-2021,A,111,0,3,2,1,4,2,12,48
sem,F1,26-01-2021,A,112,0,3,1,0,3,0,7,28
sem,C1,23-03-2021,A,113,0,2,0,0,1,2,5,20
sem,CP,27-04-2021,A,114,0,2,0,0,3,0,5,20
pre,V3,12-1-2021,B,201,0,1,0,0,0,0,1,4
pre,B1,19-1-2021,B,202,0,1,1,0,1,0,3,12
pre,C1,23-03-2021,B,203,0,2,0,0,1,0,3,12
pre,F1,26-01-2021,B,204,0,1,0,0,1,0,2,8
pre,V0,20-12-2021,B,205,0,0,0,0,0,0,0,0
pre,CP,27-04-2021,B,206,0,0,0,0,1,0,1,4
pre,V1,5-1-2021,B,207,0,0,0,0,0,0,0,0
sem,V3,12-1-2021,B,208,0,4,2,1,2,3,12,48
sem,C1,23-03-2021,B,209,0,2,0,0,3,2,7,28
sem,V1,5-1-2021,B,210,0,4,4,0,2,1,11,44
sem,CP,27-04-2021,B,211,0,2,0,0,4,0,6,24
sem,V0,20-12-2021,B,212,0,0,0,0,0,0,0,0
sem,B1,19-1-2021,B,213,0,3,4,1,1,1,10,40
sem,F1,26-01-2021,B,214,0,4,1,0,3,0,8,32
pre,CP,27-04-2021,C,301,0,0,0,0,2,0,2,8
pre,F1,26-01-2021,C,302,0,0,0,0,4,0,4,16
pre,V0,20-12-2021,C,303,0,0,0,0,0,0,0,0
pre,B1,19-1-2021,C,304,0,2,1,0,1,0,4,16
pre,V1,5-1-2021,C,305,0,0,0,0,0,0,0,0
pre,V3,12-1-2021,C,306,0,1,1,0,0,0,2,8
pre,C1,23-03-2021,C,307,0,1,0,0,0,1,2,8
sem,V1,5-1-2021,C,308,0,3,3,1,5,0,12,48
sem,CP,27-04-2021,C,309,0,3,0,0,6,0,9,36
sem,F1,26-01-2021,C,310,0,2,0,0,2,0,4,16
sem,V3,12-1-2021,C,311,0,2,2,2,3,1,10,40
sem,B1,19-1-2021,C,312,1,4,1,1,2,2,11,44
sem,C1,23-03-2021,C,313,0,3,0,0,2,1,6,24
sem,V0,20-12-2021,C,314,0,0,0,0,0,0,0,0
pre,V0,20-12-2021,D,401,0,0,0,0,0,0,0,0
pre,CP,27-04-2021,D,402,0,0,0,0,2,1,3,12
pre,C1,23-03-2021,D,403,0,1,0,0,0,2,3,12
pre,V3,12-1-2021,D,404,0,1,0,0,0,0,1,4
pre,F1,26-01-2021,D,405,0,1,1,0,1,0,3,12
pre,B1,19-1-2021,D,406,0,2,1,0,0,0,3,12
pre,V1,5-1-2021,D,407,0,0,0,0,0,0,0,0
sem,B1,19-1-2021,D,408,0,4,3,0,3,1,11,44
sem,V3,12-1-2021,D,409,0,4,3,0,2,2,11,44
sem,CP,27-04-2021,D,410,0,4,0,0,4,1,9,36
sem,V0,20-12-2021,D,411,0,0,0,0,0,0,0,0
sem,C1,23-03-2021,D,412,0,3,0,0,3,2,8,32
sem,F1,26-01-2021,D,413,0,3,0,1,3,0,7,28
sem,V1,5-1-2021,D,414,0,3,2,0,3,2,10,40
