herbicidas,repetição,plot,data,nota,densidade,data,biomassa,data,plot,FEDEGOSO,APAGA-FOGO,CIPO,QUEBRA PEDRA,COLCHAO ,total_plantas,total_m2
Controle,A,101,29/12/2020,x,"6,3",29/12/2020,"0,142",9/2/2021,101,2,5,3,2,0,12,48
S-metolachlor,A,102,29/12/2020,90,"7,5",29/12/2020,"0,068",9/2/2021,102,1,3,4,0,0,8,32
Diuron,A,103,29/12/2020,97,"8,4",29/12/2020,"0,042",9/2/2021,103,0,1,1,0,3,5,20
Trifluralin,A,104,29/12/2020,98,"7,6",29/12/2020,"0,002",9/2/2021,104,0,1,0,1,0,2,8
Oxyfluorfen,A,105,29/12/2020,96,"6,3",29/12/2020,"0,038",9/2/2021,105,0,0,0,0,3,3,12
Clomazone,A,106,29/12/2020,95,"6,8",29/12/2020,"0,082",9/2/2021,106,0,0,4,0,1,5,20
Clomazone + Diuron,A,107,29/12/2020,98,"8,0",29/12/2020,"0,036",9/2/2021,107,0,2,3,0,2,7,28
Pedimentalina,A,108,29/12/2020,94,"7,5",29/12/2020,"0,080",9/2/2021,108,0,5,3,0,0,8,32
Alacloro,A,109,29/12/2020,95,"8,3",29/12/2020,"0,056",9/2/2021,109,0,3,2,1,0,6,24
Diuron + trifluralin,A,110,29/12/2020,97,"7,6",29/12/2020,"0,070",9/2/2021,110,0,2,3,1,0,6,24
Diuron + trifluralin,B,201,29/12/2020,98,"7,4",29/12/2020,"0,046",9/2/2021,201,0,0,4,1,0,5,20
Clomazone + Diuron,B,202,29/12/2020,96,"7,8",29/12/2020,"0,050",9/2/2021,202,2,2,1,0,0,5,20
Pedimentalina,B,203,29/12/2020,96,"7,0",29/12/2020,"0,058",9/2/2021,203,0,3,4,0,0,7,28
Controle,B,204,29/12/2020,x,"6,9",29/12/2020,"0,098",9/2/2021,204,0,3,3,0,0,6,24
Diuron,B,205,29/12/2020,95,"7,1",29/12/2020,"0,046",9/2/2021,205,0,0,2,0,0,2,8
S-metolachlor,B,206,29/12/2020,96,"6,1",29/12/2020,"0,042",9/2/2021,206,0,0,5,0,0,5,20
Alacloro,B,207,29/12/2020,96,"6,8",29/12/2020,"0,022",9/2/2021,207,0,0,4,0,0,4,16
Clomazone,B,208,29/12/2020,96,"7,4",29/12/2020,"0,080",9/2/2021,208,0,0,3,0,0,3,12
Oxyfluorfen,B,209,29/12/2020,97,"5,6",29/12/2020,"0,046",9/2/2021,209,0,0,0,0,2,2,8
trifluralin,B,210,29/12/2020,98,"7,5",29/12/2020,"0,028",9/2/2021,210,0,0,2,0,0,2,8
Clomazone,C,301,29/12/2020,95,"6,3",29/12/2020,"0,036",9/2/2021,301,0,0,3,0,0,3,12
Diuron,C,302,29/12/2020,96,"6,8",29/12/2020,"0,028",9/2/2021,302,0,0,2,1,0,3,12
Oxyfluorfen,C,303,29/12/2020,99,"6,1",29/12/2020,"0,034",9/2/2021,303,0,0,2,0,0,2,8
Diuron + trifluralin,C,304,29/12/2020,97,"7,0",29/12/2020,"0,036",9/2/2021,304,0,0,1,0,0,1,4
Pedimentalina,C,305,29/12/2020,97,"6,1",29/12/2020,"0,032",9/2/2021,305,0,0,2,0,0,2,8
trifluralin,C,306,29/12/2020,100,"6,3",29/12/2020,"0,012",9/2/2021,306,0,0,1,0,2,3,12
Controle,C,307,29/12/2020,x,"7,5",29/12/2020,"0,048",9/2/2021,307,0,2,2,1,0,5,20
S-metolachlor,C,308,29/12/2020,98,"6,9",29/12/2020,"0,046",9/2/2021,308,0,2,3,0,0,5,20
Clomazone + Diuron,C,309,29/12/2020,99,"6,5",29/12/2020,"0,096",9/2/2021,309,0,2,2,0,0,4,16
Alacloro,C,310,29/12/2020,98,"7,0",29/12/2020,"0,036",9/2/2021,310,0,0,4,0,0,4,16
trifluralin,D,401,29/12/2020,100,"6,1",29/12/2020,"0,006",9/2/2021,401,0,0,1,0,0,1,4
Diuron + trifluralin,D,402,29/12/2020,99,"6,5",29/12/2020,"0,030",9/2/2021,402,0,0,1,0,1,2,8
S-metolachlor,D,403,29/12/2020,97,"6,0",29/12/2020,"0,024",9/2/2021,403,0,0,2,0,0,2,8
Clomazone,D,404,29/12/2020,95,"6,5",29/12/2020,"0,028",9/2/2021,404,0,0,3,0,0,3,12
Clomazone + Diuron,D,405,29/12/2020,98,"5,0",29/12/2020,"0,038",9/2/2021,405,0,0,3,0,0,3,12
Oxyfluorfen,D,406,29/12/2020,99,"5,9",29/12/2020,"0,056",9/2/2021,406,0,0,3,0,0,3,12
Pedimentalina,D,407,29/12/2020,98,"5,0",29/12/2020,"0,026",9/2/2021,407,0,2,2,0,0,4,16
Alacloro,D,408,29/12/2020,99,"6,5",29/12/2020,"0,052",9/2/2021,408,0,0,4,0,0,4,16
Controle,D,409,29/12/2020,x,"6,6",29/12/2020,"0,036",9/2/2021,409,0,0,2,0,0,2,8
Diuron,D,410,29/12/2020,97,"5,9",29/12/2020,"0,040",9/2/2021,410,0,0,4,0,0,4,16
Controle,A,101,05/01/2021,x,"6,0",30/01/2021,,,,,,,,,,
S-metolachlor,A,102,05/01/2021,75,"7,2",30/01/2021,,,,,,,,,,
Diuron,A,103,05/01/2021,80,"8,1",30/01/2021,,,,,,,,,,
Trifluralin,A,104,05/01/2021,90,"7,0",30/01/2021,,,,,,,,,,
Oxyfluorfen,A,105,05/01/2021,95,"6,0",30/01/2021,,,,,,,,,,
Clomazone,A,106,05/01/2021,82,"6,2",30/01/2021,,,,,,,,,,
Clomazone + Diuron,A,107,05/01/2021,81,"7,2",30/01/2021,,,,,,,,,,
Pedimentalina,A,108,05/01/2021,78,"7,1",30/01/2021,,,,,,,,,,
Alacloro,A,109,05/01/2021,81,"8,0",30/01/2021,,,,,,,,,,
Diuron + trifluralin,A,110,05/01/2021,90,"7,2",30/01/2021,,,,,,,,,,
Diuron + trifluralin,B,201,05/01/2021,87,"7,0",30/01/2021,,,,,,,,,,
Clomazone + Diuron,B,202,05/01/2021,92,"7,3",30/01/2021,,,,,,,,,,
Pedimentalina,B,203,05/01/2021,75,"6,9",30/01/2021,,,,,,,,,,
Controle,B,204,05/01/2021,x,"6,7",30/01/2021,,,,,,,,,,
Diuron,B,205,05/01/2021,90,"7,0",30/01/2021,,,,,,,,,,
S-metolachlor,B,206,05/01/2021,81,"6,0",30/01/2021,,,,,,,,,,
Alacloro,B,207,05/01/2021,78,"6,5",30/01/2021,,,,,,,,,,
Clomazone,B,208,05/01/2021,80,"7,1",30/01/2021,,,,,,,,,,
Oxyfluorfen,B,209,05/01/2021,92,"5,3",30/01/2021,,,,,,,,,,
trifluralin,B,210,05/01/2021,95,"7,2",30/01/2021,,,,,,,,,,
Clomazone,C,301,05/01/2021,81,"6,0",30/01/2021,,,,,,,,,,
Diuron,C,302,05/01/2021,85,"6,6",30/01/2021,,,,,,,,,,
Oxyfluorfen,C,303,05/01/2021,95,"6,0",30/01/2021,,,,,,,,,,
Diuron + trifluralin,C,304,05/01/2021,87,"6,9",30/01/2021,,,,,,,,,,
Pedimentalina,C,305,05/01/2021,78,"6,0",30/01/2021,,,,,,,,,,
trifluralin,C,306,05/01/2021,95,"6,2",30/01/2021,,,,,,,,,,
Controle,C,307,05/01/2021,x,"7,3",30/01/2021,,,,,,,,,,
S-metolachlor,C,308,05/01/2021,80,"6,7",30/01/2021,,,,,,,,,,
Clomazone + Diuron,C,309,05/01/2021,90,"6,1",30/01/2021,,,,,,,,,,
Alacloro,C,310,05/01/2021,78,"6,7",30/01/2021,,,,,,,,,,
trifluralin,D,401,05/01/2021,97,"6,0",30/01/2021,,,,,,,,,,
Diuron + trifluralin,D,402,05/01/2021,85,"6,2",30/01/2021,,,,,,,,,,
S-metolachlor,D,403,05/01/2021,89,"5,9",30/01/2021,,,,,,,,,,
Clomazone,D,404,05/01/2021,77,"6,3",30/01/2021,,,,,,,,,,
Clomazone + Diuron,D,405,05/01/2021,92,"4,8",30/01/2021,,,,,,,,,,
