herbicida,estagio,tempo_data,rep,Qt capulhos 2 m,Qt capulhos 1 m,peso,media/capulho,1 m,kg/há,a /há
pre,V0,20/12/2020,101,118,"59,0","0,460","0,004","0,230","2875,00","191,67"
pre,V1,05/01/2021,102,130,"65,0","0,442","0,003","0,221","2762,50","184,17"
pre,V3,12/01/2021,103,150,"75,0","0,506","0,003","0,253","3162,50","210,83"
pre,B1,19/01/2021,104,151,"75,5","0,640","0,004","0,320","4000,00","266,67"
pre,F1,09/02/2021,105,152,"76,0","0,644","0,004","0,322","4025,00","268,33"
pre,C1,23/03/2021,106,148,"74,0","0,464","0,003","0,232","2900,00","193,33"
pre,CP,27/04/2021,107,139,"69,5","0,488","0,004","0,244","3050,00","203,33"
sem,V0,20/12/2020,108,147,"73,5","0,524","0,004","0,262","3275,00","218,33"
sem,V1,05/01/2021,109,127,"63,5","0,498","0,004","0,249","3112,50","207,50"
sem,V3,12/01/2021,110,138,"69,0","0,568","0,004","0,284","3550,00","236,67"
sem,B1,19/01/2021,111,100,"50,0","0,466","0,005","0,233","2912,50","194,17"
sem,F1,26/01/2021,112,93,"46,5","0,322","0,003","0,161","2012,50","134,17"
sem,C1,23/03/2021,113,50,"25,0","0,174","0,003","0,087","1087,50","72,50"
sem,CP,27/04/2021,114,37,"18,5","0,174","0,005","0,087","1087,50","72,50"
pre,V3,12/01/2021,201,104,"52,0","0,504","0,005","0,252","3150,00","210,00"
pre,B1,19/01/2021,202,128,"64,0","0,585","0,005","0,293","3656,25","243,75"
pre,C1,23/03/2021,203,130,"65,0","0,538","0,004","0,269","3362,50","224,17"
pre,F1,26/01/2021,204,153,"76,5","0,602","0,004","0,301","3762,50","250,83"
pre,V0,20/12/2020,205,141,"70,5","0,430","0,003","0,215","2687,50","179,17"
pre,CP,27/04/2021,206,154,"77,0","0,584","0,004","0,292","3650,00","243,33"
pre,V1,05/01/2021,207,107,"53,5","0,396","0,004","0,198","2475,00","165,00"
sem,V3,12/01/2021,208,148,"74,0","0,500","0,003","0,250","3125,00","208,33"
sem,C1,23/03/2021,209,45,"22,5","0,142","0,003","0,071","887,50","59,17"
sem,V1,05/01/2021,210,129,"64,5","0,470","0,004","0,235","2937,50","195,83"
sem,CP,27/04/2021,211,44,"22,0","0,192","0,004","0,096","1200,00","80,00"
sem,V0,20/12/2020,212,77,"38,5","0,358","0,005","0,179","2237,50","149,17"
sem,B1,19/01/2021,213,98,"49,0","0,408","0,004","0,204","2550,00","170,00"
sem,F1,26/01/2021,214,89,"44,5","0,286","0,003","0,143","1787,50","119,17"
pre,CP,27/04/2021,301,77,"38,5","0,278","0,004","0,139","1737,50","115,83"
pre,F1,26/01/2021,302,123,"61,5","0,548","0,004","0,274","3425,00","228,33"
pre,V0,20/12/2020,303,109,"54,5","0,584","0,005","0,292","3650,00","243,33"
pre,B1,19/01/2021,304,114,"57,0","0,476","0,004","0,238","2975,00","198,33"
pre,V1,05/01/2021,305,98,"49,0","0,572","0,006","0,286","3575,00","238,33"
pre,V3,12/01/2021,306,98,"49,0","0,454","0,005","0,227","2837,50","189,17"
pre,C1,23/03/2021,307,113,"56,5","0,492","0,004","0,246","3075,00","205,00"
sem,V1,05/01/2021,308,136,"68,0","0,518","0,004","0,259","3237,50","215,83"
sem,CP,27/04/2021,309,48,"24,0","0,186","0,004","0,093","1162,50","77,50"
sem,F1,26/01/2021,310,162,"81,0","0,668","0,004","0,334","4175,00","278,33"
sem,V3,12/01/2021,311,121,"60,5","0,532","0,004","0,266","3325,00","221,67"
sem,B1,19/01/2021,312,151,"75,5","0,534","0,004","0,267","3337,50","222,50"
sem,C1,23/03/2021,313,48,"24,0","0,240","0,005","0,120","1500,00","100,00"
sem,V0,20/12/2020,314,115,"57,5","0,452","0,004","0,226","2825,00","188,33"
pre,V0,20/12/2020,401,90,"45,0","0,332","0,004","0,166","2075,00","138,33"
pre,CP,27/04/2021,402,122,"61,0","0,470","0,004","0,235","2937,50","195,83"
pre,C1,23/03/2021,403,113,"56,5","0,378","0,003","0,189","2362,50","157,50"
pre,V3,12/01/2021,404,138,"69,0","0,550","0,004","0,275","3437,50","229,17"
pre,F1,26/01/2021,405,114,"57,0","0,410","0,004","0,205","2562,50","170,83"
pre,B1,19/01/2021,406,108,"54,0","0,414","0,004","0,207","2587,50","172,50"
pre,V1,05/01/2021,407,135,"67,5","0,542","0,004","0,271","3387,50","225,83"
sem,B1,19/01/2021,408,105,"52,5","0,392","0,004","0,196","2450,00","163,33"
sem,V3,12/01/2021,409,113,"56,5","0,472","0,004","0,236","2950,00","196,67"
sem,CP,27/04/2021,410,47,"23,5","0,194","0,004","0,097","1212,50","80,83"
sem,V0,20/12/2020,411,109,"54,5","0,394","0,004","0,197","2462,50","164,17"
sem,C1,23/03/2021,412,47,"23,5","0,172","0,004","0,086","1075,00","71,67"
sem,F1,26/01/2021,413,77,"38,5","0,368","0,005","0,184","2300,00","153,33"
sem,V1,05/01/2021,414,136,"68,0","0,604","0,004","0,302","3775,00","251,67"
